date,annee,zone,nom_jour_ferie
2012-10-09,2012,Saint-Barthélémy,Abolition de l'esclavage
2012-11-01,2012,Saint-Barthélémy,Toussaint
2012-11-11,2012,Saint-Barthélémy,11 novembre
2012-12-25,2012,Saint-Barthélémy,Jour de Noël
2013-01-01,2013,Saint-Barthélémy,1er janvier
2013-04-01,2013,Saint-Barthélémy,Lundi de Pâques
2013-05-01,2013,Saint-Barthélémy,1er mai
2013-05-08,2013,Saint-Barthélémy,8 mai
2013-05-09,2013,Saint-Barthélémy,Ascension
2013-05-20,2013,Saint-Barthélémy,Lundi de Pentecôte
2013-07-14,2013,Saint-Barthélémy,14 juillet
2013-08-15,2013,Saint-Barthélémy,Assomption
2013-10-09,2013,Saint-Barthélémy,Abolition de l'esclavage
2013-11-01,2013,Saint-Barthélémy,Toussaint
2013-11-11,2013,Saint-Barthélémy,11 novembre
2013-12-25,2013,Saint-Barthélémy,Jour de Noël
2014-01-01,2014,Saint-Barthélémy,1er janvier
2014-04-21,2014,Saint-Barthélémy,Lundi de Pâques
2014-05-01,2014,Saint-Barthélémy,1er mai
2014-05-08,2014,Saint-Barthélémy,8 mai
2014-05-29,2014,Saint-Barthélémy,Ascension
2014-06-09,2014,Saint-Barthélémy,Lundi de Pentecôte
2014-07-14,2014,Saint-Barthélémy,14 juillet
2014-08-15,2014,Saint-Barthélémy,Assomption
2014-10-09,2014,Saint-Barthélémy,Abolition de l'esclavage
2014-11-01,2014,Saint-Barthélémy,Toussaint
2014-11-11,2014,Saint-Barthélémy,11 novembre
2014-12-25,2014,Saint-Barthélémy,Jour de Noël
2015-01-01,2015,Saint-Barthélémy,1er janvier
2015-04-06,2015,Saint-Barthélémy,Lundi de Pâques
2015-05-01,2015,Saint-Barthélémy,1er mai
2015-05-08,2015,Saint-Barthélémy,8 mai
2015-05-14,2015,Saint-Barthélémy,Ascension
2015-05-25,2015,Saint-Barthélémy,Lundi de Pentecôte
2015-07-14,2015,Saint-Barthélémy,14 juillet
2015-08-15,2015,Saint-Barthélémy,Assomption
2015-10-09,2015,Saint-Barthélémy,Abolition de l'esclavage
2015-11-01,2015,Saint-Barthélémy,Toussaint
2015-11-11,2015,Saint-Barthélémy,11 novembre
2015-12-25,2015,Saint-Barthélémy,Jour de Noël
2016-01-01,2016,Saint-Barthélémy,1er janvier
2016-03-28,2016,Saint-Barthélémy,Lundi de Pâques
2016-05-01,2016,Saint-Barthélémy,1er mai
2016-05-05,2016,Saint-Barthélémy,Ascension
2016-05-08,2016,Saint-Barthélémy,8 mai
2016-05-16,2016,Saint-Barthélémy,Lundi de Pentecôte
2016-07-14,2016,Saint-Barthélémy,14 juillet
2016-08-15,2016,Saint-Barthélémy,Assomption
2016-10-09,2016,Saint-Barthélémy,Abolition de l'esclavage
2016-11-01,2016,Saint-Barthélémy,Toussaint
2016-11-11,2016,Saint-Barthélémy,11 novembre
2016-12-25,2016,Saint-Barthélémy,Jour de Noël
2017-01-01,2017,Saint-Barthélémy,1er janvier
2017-04-17,2017,Saint-Barthélémy,Lundi de Pâques
2017-05-01,2017,Saint-Barthélémy,1er mai
2017-05-08,2017,Saint-Barthélémy,8 mai
2017-05-25,2017,Saint-Barthélémy,Ascension
2017-06-05,2017,Saint-Barthélémy,Lundi de Pentecôte
2017-07-14,2017,Saint-Barthélémy,14 juillet
2017-08-15,2017,Saint-Barthélémy,Assomption
2017-10-09,2017,Saint-Barthélémy,Abolition de l'esclavage
2017-11-01,2017,Saint-Barthélémy,Toussaint
2017-11-11,2017,Saint-Barthélémy,11 novembre
2017-12-25,2017,Saint-Barthélémy,Jour de Noël
2018-01-01,2018,Saint-Barthélémy,1er janvier
2018-04-02,2018,Saint-Barthélémy,Lundi de Pâques
2018-05-01,2018,Saint-Barthélémy,1er mai
2018-05-08,2018,Saint-Barthélémy,8 mai
2018-05-10,2018,Saint-Barthélémy,Ascension
2018-05-21,2018,Saint-Barthélémy,Lundi de Pentecôte
2018-07-14,2018,Saint-Barthélémy,14 juillet
2018-08-15,2018,Saint-Barthélémy,Assomption
2018-10-09,2018,Saint-Barthélémy,Abolition de l'esclavage
2018-11-01,2018,Saint-Barthélémy,Toussaint
2018-11-11,2018,Saint-Barthélémy,11 novembre
2018-12-25,2018,Saint-Barthélémy,Jour de Noël
2019-01-01,2019,Saint-Barthélémy,1er janvier
2019-04-22,2019,Saint-Barthélémy,Lundi de Pâques
2019-05-01,2019,Saint-Barthélémy,1er mai
2019-05-08,2019,Saint-Barthélémy,8 mai
2019-05-30,2019,Saint-Barthélémy,Ascension
2019-06-10,2019,Saint-Barthélémy,Lundi de Pentecôte
2019-07-14,2019,Saint-Barthélémy,14 juillet
2019-08-15,2019,Saint-Barthélémy,Assomption
2019-10-09,2019,Saint-Barthélémy,Abolition de l'esclavage
2019-11-01,2019,Saint-Barthélémy,Toussaint
2019-11-11,2019,Saint-Barthélémy,11 novembre
2019-12-25,2019,Saint-Barthélémy,Jour de Noël
2020-01-01,2020,Saint-Barthélémy,1er janvier
2020-04-13,2020,Saint-Barthélémy,Lundi de Pâques
2020-05-01,2020,Saint-Barthélémy,1er mai
2020-05-08,2020,Saint-Barthélémy,8 mai
2020-05-21,2020,Saint-Barthélémy,Ascension
2020-06-01,2020,Saint-Barthélémy,Lundi de Pentecôte
2020-07-14,2020,Saint-Barthélémy,14 juillet
2020-08-15,2020,Saint-Barthélémy,Assomption
2020-10-09,2020,Saint-Barthélémy,Abolition de l'esclavage
2020-11-01,2020,Saint-Barthélémy,Toussaint
2020-11-11,2020,Saint-Barthélémy,11 novembre
2020-12-25,2020,Saint-Barthélémy,Jour de Noël
2021-01-01,2021,Saint-Barthélémy,1er janvier
2021-04-05,2021,Saint-Barthélémy,Lundi de Pâques
2021-05-01,2021,Saint-Barthélémy,1er mai
2021-05-08,2021,Saint-Barthélémy,8 mai
2021-05-13,2021,Saint-Barthélémy,Ascension
2021-05-24,2021,Saint-Barthélémy,Lundi de Pentecôte
2021-07-14,2021,Saint-Barthélémy,14 juillet
2021-08-15,2021,Saint-Barthélémy,Assomption
2021-10-09,2021,Saint-Barthélémy,Abolition de l'esclavage
2021-11-01,2021,Saint-Barthélémy,Toussaint
2021-11-11,2021,Saint-Barthélémy,11 novembre
2021-12-25,2021,Saint-Barthélémy,Jour de Noël
2022-01-01,2022,Saint-Barthélémy,1er janvier
2022-04-18,2022,Saint-Barthélémy,Lundi de Pâques
2022-05-01,2022,Saint-Barthélémy,1er mai
2022-05-08,2022,Saint-Barthélémy,8 mai
2022-05-26,2022,Saint-Barthélémy,Ascension
2022-06-06,2022,Saint-Barthélémy,Lundi de Pentecôte
2022-07-14,2022,Saint-Barthélémy,14 juillet
2022-08-15,2022,Saint-Barthélémy,Assomption
2022-10-09,2022,Saint-Barthélémy,Abolition de l'esclavage
2022-11-01,2022,Saint-Barthélémy,Toussaint
2022-11-11,2022,Saint-Barthélémy,11 novembre
2022-12-25,2022,Saint-Barthélémy,Jour de Noël
2023-01-01,2023,Saint-Barthélémy,1er janvier
2023-04-10,2023,Saint-Barthélémy,Lundi de Pâques
2023-05-01,2023,Saint-Barthélémy,1er mai
2023-05-08,2023,Saint-Barthélémy,8 mai
2023-05-18,2023,Saint-Barthélémy,Ascension
2023-05-29,2023,Saint-Barthélémy,Lundi de Pentecôte
